Gene1,Gene2,Read counts,In iPRINT_A,In iPRINT_B,In iPRINT_C,Read count_iPRINT_A,Read count_iPRINT_B,Read count_iPRINT_C
PAK3,MIGA1,14,1,1,0,1,13,0
ZNF519,ATF6,30,0,0,1,0,0,30
SREK1IP1,SCN11A,20,0,1,0,0,20,0
GOLGA6L6,DCLRE1C,13,1,0,0,13,0,0
P4HA2,NUFIP1,18,1,0,0,18,0,0
ZNF805,DFFA,34,1,1,1,3,3,28
SOCS4,OPA3,15,1,1,0,1,14,0
ZNF454,ARF3,20,0,1,1,0,2,18
PIGX,ATM,20,1,0,0,20,0,0
ZNF33B,TFDP2,13,1,0,0,13,0,0
METTL16,DCAF16,24,0,0,1,0,0,24
TULP2,FRRS1L,13,0,0,1,0,0,13
TMEM8B,PKNOX1,84,0,0,1,0,0,84
EPB41,BMP7,32,1,1,0,21,11,0
CDH1,ANAPC15,17,0,0,1,0,0,17
WDR31,ETFBKMT,16,1,1,1,14,1,1
ZNF37A,ZNF346,15,0,1,0,0,15,0
TRPV1,RHOBTB3,16,0,0,1,0,0,16
RBMS2,C1orf232,31,1,0,0,31,0,0
RASGRP3,ARID3A,14,1,0,0,14,0,0
GFOD2,CD70,17,1,1,1,13,2,2
ZNF133,CCL5,15,0,0,1,0,0,15
MTSS1,CYREN,39,1,1,1,4,27,8
UBOX5,GPSM2,33,0,1,1,0,1,32
YME1L1,TMEM161B,29,1,0,0,29,0,0
RUNDC1,MAN1C1,18,1,0,0,18,0,0
ZNF665,ZNF141,13,0,1,1,0,2,11
MDM4,L2HGDH,36,0,0,1,0,0,36
ZMAT3,GAS7,27,1,0,1,9,0,18
THNSL1,PCDH11Y,21,1,0,0,21,0,0
XIAP,CD99,18,1,0,1,17,0,1
MPIG6B,IFNLR1,22,0,0,1,0,0,22
SIX4,CALN1,43,1,1,0,1,42,0
WHAMM,SCIMP,28,1,1,0,1,27,0
SLC16A7,OR11H7,13,0,1,0,0,13,0
RAB8B,OPRM1,53,1,1,0,1,52,0
ZNF665,PEX26,14,1,1,0,1,13,0
SPATS2,MFSD13A,82,0,0,1,0,0,82
SUGT1,PHC3,29,1,1,0,6,23,0
TADA2A,BCKDHB,30,1,1,0,29,1,0
SIGLEC6,DGKB,119,1,0,0,119,0,0
USP54,LPCAT2,32,0,0,1,0,0,32
VIPR2,APOL1,51,0,1,0,0,51,0
ZNF570,PCYT1B,29,0,0,1,0,0,29
TPM1,ARHGAP11A,14,1,0,0,14,0,0
MYLK3,LOC107985939,35,0,1,0,0,35,0
MEAF6,KBTBD12,21,1,0,0,21,0,0
LPIN3,CLUAP1,21,1,1,0,20,1,0
ZNF106,PUS7L,74,1,0,1,53,0,21
LDLR,ESYT2,98,1,0,0,98,0,0
LOC107986803,LOC101060022,51,1,1,1,33,9,9
TRIM56,TMPRSS3,13,0,0,1,0,0,13
FOXP4,ANGEL2,63,0,0,1,0,0,63
STK17B,ACTR3C,98,0,0,1,0,0,98
MYO10,FAM126B,25,1,0,0,25,0,0
HSCB,CCSER2,25,1,0,0,25,0,0
LOC107987477,EPB41,51,1,1,1,20,1,30
SPPL2A,LIX1L,21,1,1,0,18,3,0
TFDP2,RIPPLY3,181,1,1,0,3,178,0
TSR2,EXPH5,87,1,0,0,87,0,0
ZNF383,PRPF40B,24,1,0,0,24,0,0
OBSCN,ADSL,123,0,1,0,0,123,0
IFNLR1,FBLN7,39,0,1,0,0,39,0
SCAI,CTRC,14,0,1,0,0,14,0
ZNF880,POLH,44,1,1,0,43,1,0
TMEM170A,ASAH2,112,1,0,0,112,0,0
SCML4,METTL8,420,1,1,1,68,34,318
F11R,CYB5R3,14,0,0,1,0,0,14
FMC1,DDX52,15,0,0,1,0,0,15
RETREG2,CAMK2G,53,0,0,1,0,0,53
TCP11L1,C8orf34,40,1,0,0,40,0,0
PRKAG2,CPA4,78,1,0,0,78,0,0
KCNE4,CEP57L1,29,1,0,0,29,0,0
LRP2BP,DNAJC21,22,0,1,1,0,1,21
ZNF480,GNL3L,20,1,0,1,2,0,18
SKIDA1,CCBE1,17,0,0,1,0,0,17
RABGAP1L,MSH2,17,0,1,0,0,17,0
ZNF490,ARIH2,14,1,1,1,4,2,8
ZNF333,PKLR,89,1,0,0,89,0,0
CUX1,CC2D1B,42,0,0,1,0,0,42
KIFC3,C21orf62,17,1,0,0,17,0,0
PRR11,GJC1,16,1,0,1,2,0,14
BVES,ARGFX,13,1,1,1,11,1,1
RPL7L1,PRKAG2,35,1,1,0,34,1,0
SLC9A4,HS6ST3,70,1,1,1,32,26,12
WDR45B,NRIP3,13,1,1,1,11,1,1
RSAD2,CHP1,14,1,0,1,2,0,12
SCN11A,CD99,14,1,0,0,14,0,0
TRMT2B,CAMTA1,30,1,1,1,26,1,3
ZNF69,FCF1,16,0,0,1,0,0,16
TTC3,FOXO3,13,1,1,1,7,2,4
MALL,BCDIN3D,19,1,1,1,12,6,1
GSTO2,EIF4E,38,1,1,1,12,11,15
UBE2D4,MCM8,14,1,1,1,1,11,2
SLC25A35,ATP6AP1L,20,0,1,1,0,4,16
CAMK4,BMP7,13,1,0,0,13,0,0
RAD50,FAM153A,25,1,0,0,25,0,0
DFFB,CNBP,59,1,1,0,58,1,0
SERPINB6,PLEKHA1,38,0,0,1,0,0,38
PHC3,MITD1,19,0,1,0,0,19,0
LRCH3,LOC112268473,16,1,0,0,16,0,0
TTC21B,NF2,57,1,0,0,57,0,0
MSMO1,CYBC1,52,0,0,1,0,0,52
UBXN2A,CLCN5,47,0,0,1,0,0,47
UTP11,SPAG9,18,0,0,1,0,0,18
ZNF565,PPM1K,14,1,0,0,14,0,0
LOC107984751,ABL2,20,0,1,1,0,19,1
RHOBTB3,DTX3L,13,1,0,0,13,0,0
TOP3A,C4orf19,22,1,1,0,21,1,0
TENM4,OR2F1,20,1,1,1,9,1,10
NPC1,KLHL28,20,0,1,0,0,20,0
INTS2,EXD1,15,1,0,0,15,0,0
STX11,GCM1,13,0,1,0,0,13,0
ZNF529,UBOX5,25,1,1,0,13,12,0
NEK5,CD3EAP,21,1,0,0,21,0,0
TPM1,EXPH5,22,1,1,0,1,21,0
SPATC1L,NUDT4,15,1,0,0,15,0,0
LYN,LOC102723623,20,0,1,1,0,16,4
TMEM267,PACS2,14,0,0,1,0,0,14
CFLAR,C2orf91,299,1,1,1,108,127,64
CXorf36,ACTR3C,22,1,1,0,21,1,0
NEK4,CEP57L1,80,1,0,1,23,0,57
GSTO2,CRYBB3,16,0,0,1,0,0,16
CFAP97,AP4S1,18,1,1,0,11,7,0
LYRM7,AFMID,16,1,1,1,4,11,1
ZNF793,OSBPL2,30,1,1,0,27,3,0
NDST3,LAMB4,31,1,1,0,4,27,0
ZKSCAN1,SYNE3,21,1,0,1,3,0,18
CHRNA7,BVES,21,1,0,0,21,0,0
MPZL3,CAMLG,18,1,0,0,18,0,0
ZNF207,ABHD18,55,0,0,1,0,0,55
PSMB2,COMMD2,18,0,0,1,0,0,18
PTGIS,PRELID2,13,0,1,1,0,1,12
WWC1,TIMM23B,13,1,0,0,13,0,0
ZNF34,VCPKMT,17,1,0,1,11,0,6
USP54,BORCS5,62,0,0,1,0,0,62
KIAA1191,ATM,106,0,0,1,0,0,106
PPIH,ANAPC15,13,1,1,0,12,1,0
ZFAND5,SLX4IP,19,1,0,1,18,0,1
SMAD9,CENPI,24,0,0,1,0,0,24
ZNF347,SH3RF2,24,0,1,0,0,24,0
SFR1,F11,18,0,1,0,0,18,0
FANCD2OS,ATL2,27,1,0,0,27,0,0
TATDN3,EPHA6,19,1,1,1,3,2,14
L3MBTL4,ASTL,14,1,1,1,7,6,1
MPPE1,CC2D2A,20,1,0,0,20,0,0
ZNF875,TRMT9B,32,1,0,1,9,0,23
DAPK2,CCER2,15,1,0,0,15,0,0
SOCS6,AASS,13,0,0,1,0,0,13
POLA2,ISG20L2,13,1,1,0,12,1,0
SYT14,INTS2,28,0,0,1,0,0,28
ZBTB8A,FUT2,45,1,1,0,3,42,0
SLC12A6,CHRNA5,22,1,1,1,16,1,5
UGGT1,STK39,18,0,1,0,0,18,0
PLEKHA5,FOXL2NB,139,1,1,1,60,39,40
GATD1,CHRM3,16,0,0,1,0,0,15
PIWIL2,LLGL1,25,0,0,1,0,0,25
PRKCA,OGFRL1,30,0,0,1,0,0,30
CPPED1,APOL6,19,1,1,0,17,2,0
SLC16A4,H6PD,80,0,1,0,0,80,0
SNAPC1,GATD1,31,0,1,1,0,1,30
RAB11FIP4,KIF3A,20,1,0,0,20,0,0
SLC22A25,DDX58,15,1,0,0,15,0,0
ZNF106,TRPM8,14,1,1,0,1,13,0
USP49,GATD1,28,1,1,0,27,1,0
GATAD1,CCL5,21,1,1,1,13,6,2
WDPCP,FNIP2,614,1,1,1,303,202,109
WDR45,FAM104B,20,1,1,0,18,2,0
ZNF783,MAST1,19,1,0,0,19,0,0
ZBTB8A,DENND6B,16,1,1,1,4,4,8
NMRK1,GEMIN8,24,1,0,0,24,0,0
TMEM185A,PSMD12,22,1,0,0,22,0,0
WDR55,GRAMD1B,18,1,1,0,2,16,0
PEX5L,IFT22,70,1,0,0,70,0,0
RNF170,NMNAT1,65,0,1,1,0,56,9
SMYD4,SLC43A2,23,0,0,1,0,0,23
NUAK2,EIF2A,39,0,1,0,0,39,0
SUOX,ELMO1,20,0,1,0,0,20,0
PRR11,CECR2,31,1,0,0,31,0,0
MSH3,CCDC138,15,0,0,1,0,0,15
RNF125,IBA57,13,0,1,0,0,13,0
ZNF805,MARCH6,43,0,0,1,0,0,43
SUGP2,RASSF9,19,1,0,0,19,0,0
TMOD2,DCUN1D2,55,1,1,1,1,51,3
EMC2,CSNK2A1,13,0,0,1,0,0,13
LILRB3,ARSA,16,1,1,1,3,12,1
PER2,AP3M1,34,0,1,1,0,17,17
ARSA,AIPL1,29,1,1,1,12,16,1
TMEM232,FBXW8,62,1,0,0,62,0,0
COX11,ARMC9,13,1,1,0,5,8,0
DAB1,CLEC17A,16,1,0,0,16,0,0
MYO5A,MARVELD2,34,0,0,1,0,0,34
RNF207,ABCB5,16,1,0,0,16,0,0
KREMEN1,CTRC,13,1,0,0,13,0,0
SLC50A1,PLEKHA5,19,0,1,0,0,19,0
SLC16A7,RNMT,28,0,0,1,0,0,28
MRO,KDSR,28,1,1,0,27,1,0
MRPL30,LAIR1,13,1,0,0,13,0,0
ZNF347,BRIP1,16,0,1,1,0,14,1
XKR5,KLRG1,27,0,0,1,0,0,27
ZNF260,OSBPL2,35,0,1,1,0,1,34
MAGEA2B,ARIH2,20,0,0,1,0,0,20
NEK8,GBP4,16,1,1,0,15,1,0
NDUFAF3,DALRD3,16,1,0,0,16,0,0
SMIM14,DGKB,22,1,1,0,3,19,0
TMEM41B,AP3M1,54,1,1,0,4,50,0
SCNM1,ACSL4,19,1,0,1,10,0,9
TRIM16L,CEP95,33,1,0,0,33,0,0
TTF2,CHST6,14,1,1,0,3,11,0
ZFP82,METTL6,19,1,1,0,18,1,0
ME2,AVL9,14,0,1,1,0,10,4
PLEKHH1,GPI,78,0,0,1,0,0,78
SHISA9,CNTN1,18,1,1,1,6,9,3
PHF12,ARHGAP1,16,1,0,0,16,0,0
LOC112267923,FHDC1,17,0,1,0,0,17,0
ZNF333,PAPLN,57,1,0,0,57,0,0
ZSCAN22,ZNF714,13,1,1,0,9,4,0
SPATA5,SLC25A37,13,0,0,1,0,0,13
TRIM67,MCF2L2,22,1,0,0,22,0,0
ZNF561,YES1,83,1,0,0,83,0,0
SERPINB12,CCR6,31,0,1,0,0,31,0
DRAXIN,CFAP97,14,1,0,0,14,0,0
MAN1C1,L2HGDH,14,0,0,1,0,0,14
TRAPPC2,LIMS1,80,1,0,0,80,0,0
STAC2,PLEKHM3,49,0,1,0,0,49,0
ZNF454,EPGN,49,1,1,0,43,6,0
TMEM41B,QPRT,16,0,1,0,0,16,0
KIF18B,GAS2L3,25,1,0,0,25,0,0
ZNF264,MIGA1,13,0,0,1,0,0,12
TBC1D20,MPRIP,53,0,0,1,0,0,53
PPP1R3B,LNX2,19,1,0,1,1,0,18
ZNF554,PCM1,32,0,0,1,0,0,32
ZNF114,FBXL22,25,1,0,1,3,0,22
ARMC10,AKAP9,82,1,0,0,82,0,0
UBE2G2,RBM34,58,1,0,1,31,0,27
CCDC57,ABHD18,24,1,1,0,23,1,0
NRG1,ATF5,138,1,1,0,1,137,0
MFSD4B,CACUL1,23,1,1,0,22,1,0
SEC14L4,CMC1,37,0,1,0,0,37,0
ZNF841,ST3GAL6,56,0,0,1,0,0,56
KIAA1257,CCDC40,14,0,0,1,0,0,14
LACC1,GPR141,28,1,0,0,28,0,0
VWDE,L2HGDH,30,1,0,0,30,0,0
RUNDC3A,ATL2,52,0,0,1,0,0,52
ZNF814,MTR,48,0,1,0,0,48,0
ZNF33B,CEP68,47,1,1,0,46,1,0
TBC1D32,LRIG2,28,0,1,1,0,27,1
NFU1,FTCD,53,1,1,1,32,18,3
ZNF426,ATP9B,26,1,1,1,19,4,3
GVQW3,ALDH6A1,44,1,1,1,31,2,11
ZNF451,CASP3,19,1,0,0,19,0,0
CERS5,BMP7,15,1,1,1,4,9,2
MTDH,GSDMC,84,1,0,0,84,0,0
NSUN3,ANXA7,14,1,1,1,9,4,1
AMN1,ABHD18,13,1,1,0,8,5,0
XIAP,FRRS1L,13,1,1,0,10,3,0
SAR1B,C9orf139,13,1,0,1,1,0,12
ZNF713,ARHGAP1,15,1,0,0,15,0,0
TEX2,CFAP97,17,0,1,0,0,17,0
ZCCHC4,CFLAR,128,1,1,0,83,45,0
VWA7,C12orf65,58,1,0,1,1,0,57
ZSCAN22,ZFP28,24,1,0,1,1,0,23
ZNF221,TOP3A,17,0,0,1,0,0,17
ZNF429,LOC643802,22,0,1,1,0,14,8
TCP11L1,LOC107984153,16,1,0,0,16,0,0
SPPL2A,HACD2,16,1,1,0,4,12,0
KREMEN1,GIPC1,42,0,0,1,0,0,42
WAC,PAFAH1B2,15,0,0,1,0,0,15
RBM41,RABEP1,85,1,1,0,22,63,0
TP53BP1,KRBOX4,23,1,0,0,23,0,0
MCM8,MAK,29,1,0,0,29,0,0
ZNF85,AKR1B15,21,1,0,0,21,0,0
SCO1,GLG1,14,0,0,1,0,0,14
FBXL18,CD209,22,1,0,1,1,0,21
IBTK,CRYBB3,20,1,0,0,20,0,0
ZNF875,DNAJC3,18,0,0,1,0,0,18
ODF2L,GBP4,50,1,1,1,29,12,9
LIMS1,GVQW3,57,1,0,0,57,0,0
TIGD1,RNMT,262,1,1,1,148,54,60
KIAA0408,BLOC1S2,22,0,0,1,0,0,22
CRPPA,C19orf54,24,1,0,0,24,0,0
RPL36A,EPB41,24,0,1,1,0,10,14
GGPS1,BIVM,30,0,1,0,0,30,0
KIF27,EPB41,18,1,0,0,18,0,0
EIF4E,C9orf3,22,0,1,0,0,22,0
TMEM209,TAF8,25,1,1,1,4,1,20
SEC22C,ME2,53,1,0,1,52,0,1
LEPR,IRF1,22,0,0,1,0,0,22
UGGT1,EXOSC2,24,0,1,1,0,14,8
SPIRE2,PDE4C,24,1,1,0,9,15,0
TLR7,CASP8,18,0,0,1,0,0,18
TRAPPC8,MAST3,32,0,1,0,0,32,0
GOLGB1,FAM153A,37,1,0,0,37,0,0
ZNF594,LAIR1,33,1,0,0,33,0,0
S100PBP,HMGA2,20,1,0,1,1,0,19
PNPLA8,GOLGA6L6,43,1,1,0,20,23,0
FBXL20,CRLF3,49,1,1,1,47,1,1
CFLAR,ASB4,15,1,1,0,5,10,0
NLRP12,MAPK13,14,1,0,1,2,0,12
PSTPIP2,MEFV,26,1,1,0,3,23,0
TTC21B,PPEF2,18,1,1,0,17,1,0
TTC39C,KIAA0355,32,1,0,0,32,0,0
PODNL1,BLOC1S2,45,1,1,0,44,1,0
TAF8,IL17RD,19,0,1,1,0,1,17
ZNF652,C9orf66,17,1,1,0,16,1,0
LOC100996716,ING5,17,1,1,0,1,16,0
ZNF805,SERPINB9,37,1,1,0,6,31,0
RFC2,NDUFAF6,25,1,0,0,25,0,0
WDR91,TRMT2B,19,0,1,1,0,15,4
UST,MTHFR,22,0,1,0,0,22,0
SELENOI,EPPIN,17,1,0,0,17,0,0
ZNF101,POLR2E,28,1,0,1,2,0,26
TFDP2,PCDHA9,39,0,0,1,0,0,39
SPC25,CLDN10,20,1,0,0,20,0,0
ZKSCAN1,OAT,97,1,1,0,1,96,0
USP14,C16orf87,17,0,0,1,0,0,17
MDM2,ICA1L,14,1,0,0,14,0,0
TRIM6,TNFAIP8L1,18,0,0,1,0,0,18
PCDH9,FUT9,15,1,0,0,15,0,0
ZNF543,LIMS1,18,1,1,0,16,2,0
PHF11,MREG,15,1,0,0,15,0,0
UBIAD1,CCSER2,17,1,0,0,17,0,0
MDM4,GATD1,124,1,1,1,28,3,93
TLR5,INSYN1,37,0,0,1,0,0,37
ZNF329,GMEB1,101,0,0,1,0,0,101
TMEM241,CDKL1,53,0,0,1,0,0,53
ZCCHC4,SPRED1,13,0,1,0,0,13,0
ZHX3,SGSM1,23,0,0,1,0,0,23
FCAR,AKIP1,106,0,0,1,0,0,106
ZYG11A,LRCH3,15,1,1,0,14,1,0
NRG4,IPP,74,1,0,0,74,0,0
TFDP2,P4HA2,47,1,0,0,43,0,0
SOAT1,MAP3K13,38,1,0,1,1,0,37
TMC7,CERK,29,1,0,0,29,0,0
STX2,MKNK1,56,1,1,1,20,35,1
PDE12,EIF4E,16,0,1,1,0,12,3
TMED9,SIGLEC10,16,0,1,0,0,16,0
PARP15,L2HGDH,2002,1,1,1,976,500,526
TIE1,PM20D2,20,0,1,0,0,20,0
ZNF141,TAF8,13,1,0,1,10,0,3
RPL23A,NDRG3,15,1,0,0,15,0,0
VPS53,GMPS,15,0,1,1,0,1,14
NUPL2,AP1S3,29,1,0,0,29,0,0
TMEM127,LARS,13,1,0,0,13,0,0
ZNF786,ADARB1,25,1,0,0,25,0,0
REPS2,HRK,59,1,0,0,59,0,0
ZNF37A,DNASE1L1,21,1,0,0,21,0,0
PRCD,CAMK1D,20,1,1,0,15,5,0
SPTBN2,RAB3B,14,0,1,1,0,3,11
PACS2,MXRA7,64,1,0,0,64,0,0
UBE2G2,PPARA,62,0,0,1,0,0,62
ZNF480,ODF2L,52,1,1,1,23,15,14
ZNF234,CCDC92B,25,1,1,1,3,1,21
PMS2,GAREM2,18,1,0,0,18,0,0
ZNF333,EXOC3L2,13,1,1,0,1,12,0
XAF1,LRRC58,22,0,0,1,0,0,22
SMG1,ACOT9,15,0,1,1,0,1,14
GNB4,ANKRD26,20,1,1,0,7,13,0
ST8SIA4,MX1,16,1,0,1,15,0,1
GNE,C11orf54,15,1,1,0,14,1,0
NUBPL,FBLIM1,50,1,1,1,6,12,32
TBC1D15,MEI1,17,0,1,0,0,17,0
TRIM45,PNMA2,32,0,0,1,0,0,32
TATDN3,NF2,195,1,1,0,4,190,0
RLIM,CHST6,18,1,1,1,14,1,3
MDM2,FAM126B,66,0,0,1,0,0,66
SLC14A2,ADAMTS17,38,1,0,0,38,0,0
ZNF655,FAM129C,15,1,0,0,15,0,0
RABL2B,PLA2G16,34,1,0,1,33,0,1
OLFML2A,ADAT1,42,1,0,0,42,0,0
FRRS1L,CCDC163,20,0,0,1,0,0,20
SYNJ1,JAM2,33,0,0,1,0,0,33
PDP2,FOXRED2,21,1,1,0,3,18,0
ZFP14,NAP1L1,81,0,0,1,0,0,81
ZNF154,SMCO2,56,1,1,0,3,53,0
MEGF11,LRTOMT,23,0,0,1,0,0,23
INSL3,DSTYK,13,1,0,0,13,0,0
FCAR,BNIPL,20,0,1,0,0,20,0
PLEKHG3,NADK2,64,1,0,0,64,0,0
TRMT9B,MTFMT,32,0,0,1,0,0,29
OGFRL1,CFAP298,21,0,1,1,0,3,18
ZNF292,FOXRED2,55,1,1,1,29,3,23
GNS,C1QTNF6,13,1,1,0,1,12,0
UBAP1,EPHA6,15,0,1,0,0,15,0
TUBD1,APOH,63,0,0,1,0,0,63
DDX52,ASB18,20,1,0,0,20,0,0
GOLGB1,FLCN,121,0,1,0,0,121,0
TMEM59,CES3,50,1,0,0,50,0,0
CIAPIN1,ACER3,35,0,0,1,0,0,35
TSHZ2,ASB6,41,1,0,0,41,0,0
KIAA1143,AK3,14,1,0,1,12,0,2
SEPT2,EXPH5,57,1,0,0,57,0,0
FXN,DNAJC22,14,1,0,1,1,0,13
SUGT1,LYZ,20,1,0,0,20,0,0
NME6,FAM126B,132,0,0,1,0,0,131
ZNF829,UEVLD,52,1,0,0,52,0,0
LRP11,KANSL1L,20,0,0,1,0,0,20
RNF152,NHLRC2,14,0,1,0,0,14,0
MPZL3,MCTS1,19,0,0,1,0,0,19
ZNF839,SCAI,30,1,0,1,28,0,2
TFDP2,ARPIN-AP3S2,40,0,1,1,0,1,39
TNFAIP8L1,ACTR8,33,1,1,0,20,13,0
DCPS,ALDH6A1,27,1,0,0,27,0,0
NXPE3,LRCH3,14,1,1,0,5,9,0
TERF1,GRIN2C,110,1,0,0,110,0,0
KYAT1,BCLAF3,32,1,0,0,32,0,0
PATJ,CD300LG,20,0,1,0,0,20,0
ZNF394,FAM129C,15,1,1,0,1,14,0
SMG1,COMMD9,53,1,1,0,2,51,0
DCTN5,ACTR3C,15,1,0,0,15,0,0
TMEM120B,ACBD5,38,1,0,1,37,0,1
PNPT1,LLGL1,13,1,0,0,13,0,0
LIPH,EIF2AK2,39,1,0,1,2,0,37
GDPD1,ADRA1A,22,1,0,0,22,0,0
RPS6KA3,ARID3A,55,1,0,1,54,0,1
CTSB,ADAM17,54,1,0,0,54,0,0
RIC3,DNAH12,166,1,1,1,73,62,31
PARP15,CLEC2D,21,1,0,0,21,0,0
TRMT10B,GLUL,80,1,0,0,80,0,0
SEMA5A,RIF1,44,0,1,0,0,44,0
TXNDC11,SLC4A8,22,0,0,1,0,0,22
STXBP2,GATD1,149,1,0,0,149,0,0
TXNRD2,IKZF3,59,1,0,0,59,0,0
SUGT1,DGKH,20,1,0,0,20,0,0
TBC1D20,LIMS1,13,1,0,0,13,0,0
POMT1,HPCAL1,13,1,1,0,1,12,0
SPDYE1,KIF3A,35,0,1,0,0,35,0
ZKSCAN1,CYP4V2,25,1,1,0,23,2,0
GAS7,AK3,117,0,0,1,0,0,117
ZNF718,PHACTR4,16,1,0,1,4,0,12
ZNF37A,SLC9A4,54,1,0,1,40,0,14
TCTN1,ENOX1,3166,1,1,1,1584,897,685
SERPINB9,FUT2,23,1,1,0,20,3,0
GREB1,BCL2L15,16,1,0,0,16,0,0
MMS22L,EXD1,51,1,0,0,51,0,0
MCM8,FAM118A,47,0,0,1,0,0,47
TLR6,PPM1K,41,1,0,1,1,0,40
SMAD2,GALNT18,17,1,0,0,17,0,0
PUS7L,HTRA4,16,1,1,1,1,7,8
RRP15,MPP6,26,1,0,0,26,0,0
SPATS2L,CSNK2A1,62,1,0,0,62,0,0
ZNF394,NF2,38,1,0,0,38,0,0
ZNF546,SPCS3,27,0,1,1,0,2,25
ZNF155,USP33,19,1,0,0,19,0,0
LRRC58,CD82,17,1,1,1,3,13,1
IFNLR1,CLUAP1,13,1,0,0,13,0,0
TFDP2,GLTP,14,1,1,0,12,2,0
ZDHHC15,MAVS,13,1,1,0,1,12,0
ZNF793,SUPT7L,14,0,1,0,0,14,0
USF2,MLEC,14,1,1,1,5,5,4
KPNA6,C11orf58,27,0,1,1,0,2,25
RSPH3,MPP6,80,1,1,0,1,79,0
SMAD2,PPP6R3,18,1,0,1,1,0,17
ENAH,EIF4E,29,1,0,0,28,0,0
PDXK,ATG14,13,0,1,0,0,13,0
PTOV1,ANKRD10,18,1,0,0,18,0,0
ZNF276,LNPK,28,0,1,0,0,28,0
ZKSCAN3,SUDS3,23,1,0,0,23,0,0
SLC39A10,PLEKHG2,34,1,1,0,16,18,0
TAPBP,CA5B,17,1,0,1,1,0,16
RBM48,CUL4A,64,0,0,1,0,0,64
SIRT5,KIAA0513,57,1,1,0,1,56,0
NRXN1,DTNB,169,1,1,1,73,51,45
LRRC28,DBF4B,53,1,1,1,15,37,1
VDR,RAB27A,13,0,0,1,0,0,13
TATDN3,ELP4,27,1,1,0,25,2,0
TOR1AIP2,ATXN3,247,1,1,0,115,132,0
SEC14L4,EIF2AK2,26,1,0,0,26,0,0
TOR1AIP2,C19orf47,88,1,1,0,27,59,0
ZNF114,MTMR9,27,1,0,1,2,0,25
TBC1D15,GJC1,18,1,0,0,18,0,0
MSRB3,FBXL22,14,1,1,0,2,12,0
ZNF555,CES2,13,1,0,0,13,0,0
TRMU,SV2B,42,0,0,1,0,0,42
ZNF490,ECT2,19,1,1,0,14,5,0
ZNF865,VTI1A,18,1,0,1,15,0,3
PRKX,MTX3,41,1,1,0,40,1,0
GATAD1,DSG3,14,1,1,0,1,13,0
SIX4,HNRNPUL1,17,0,0,1,0,0,17
ISG20L2,C17orf75,14,1,1,1,11,2,1
XAF1,ORC4,2747,1,1,1,414,1099,1234
UNK,ASPA,18,1,0,1,9,0,9
GBP5,CYP2D7,14,1,1,0,12,2,0
UBE2C,ADAT1,28,1,0,0,28,0,0
GNL3L,CUX2,19,1,1,1,4,1,14
WDPCP,PPM1K,14,1,1,0,10,4,0
HLTF,GRIN2C,28,0,0,1,0,0,28
ZNF101,REL,21,0,1,1,0,20,1
P4HA2,LYPD4,18,1,0,0,18,0,0
NOX4,LPGAT1,88,1,0,0,88,0,0
EPB41,C1orf52,38,1,0,1,22,0,13
TUBB8P12,FHIT,34,0,1,1,0,5,29
KLRD1,CASP6,24,1,1,1,11,8,5
TOR1AIP2,C12orf50,273,1,1,1,147,73,53
SYNJ1,FAM71F2,22,1,0,0,22,0,0
OSMR,DGKH,42,0,0,1,0,0,42
STYX,EXOSC2,13,0,1,1,0,3,10
SIGLEC8,SCML1,33,1,0,0,33,0,0
NMT2,ATRN,24,0,0,1,0,0,24
ZNF347,SOCS7,28,1,1,0,27,1,0
SLC4A8,NHSL2,51,1,0,1,3,0,48
ARMCX5-GPRASP2,ACKR2,23,0,0,1,0,0,23
SNX1,FOXO3,18,1,0,0,18,0,0
PRKD2,PHF12,18,1,0,0,18,0,0
COPS4,ADAT1,30,0,0,1,0,0,30
SLC35E3,ABCB5,15,1,0,0,15,0,0
INPP5B,CRYM,13,0,1,0,0,13,0
P4HA2,LHPP,14,0,1,0,0,14,0
SF3B3,RLIM,15,1,1,0,14,1,0
NME6,NCOR1,13,1,0,0,13,0,0
TYW1,PIK3C2B,16,1,1,1,14,1,1
XAF1,SCAPER,1486,1,1,1,692,380,414
SAA2,MRPL57,19,1,0,0,19,0,0
SRGAP2B,SLC25A35,31,1,1,0,29,2,0
TPM1,APOL1,16,1,0,1,1,0,15
MCM8,IKBKB,28,0,0,1,0,0,28
FSD2,BEND7,14,0,0,1,0,0,14
UTP11,THUMPD3,13,0,0,1,0,0,13
TRMO,MOSPD1,15,1,0,0,15,0,0
FLRT2,ASPH,77,1,1,1,8,33,36
NEK11,ASTE1,79,1,1,1,60,1,18
PIGX,MARVELD2,20,1,0,0,20,0,0
SENP8,PHACTR4,25,1,1,0,4,21,0
PRKAR1A,ESR1,33,1,1,1,25,5,3
PIK3C2B,KIF1B,20,1,0,1,13,0,7
PLEKHB2,C21orf62,45,1,1,0,36,9,0
SLC22A13,AGO4,17,0,0,1,0,0,17
MIGA1,MDM4,23,1,0,1,3,0,20
PDE12,FLCN,22,1,0,0,22,0,0
ZNF106,ORAI2,64,0,0,1,0,0,64
UBE2V2,TANGO2,50,0,0,1,0,0,50
TMEM159,SBNO1,28,1,0,0,28,0,0
SUSD5,DCUN1D5,22,1,0,0,22,0,0
ZNF426,ACTR3C,32,1,0,1,21,0,7
INPP5A,IL15,31,1,1,1,15,14,2
